,Aircraft Model,Empty Weight (kg),Maximum Takeoff Weight (kg),Maximum Landing Weight (kg),Center of Gravity Limits,Wing Loading (kg/m²),Tail Loading (kg/m²),Fuel Capacity (liters),Number of Passengers,Cargo Capacity (kg),Maximum Altitude (ft),Maximum Speed (knots),Engine Type,Fuselage Length (m)
10134,Airbus A380,88032.10012,213768.5699,143300.8045,20%-40% of MAC,747.5549049,185.4455934,385099.4724,203,93137.89721,20868,599,Turbofan,52.59584597
10135,Gulfstream G650,39886.04696,80916.87822,53907.60625,25%-35% of MAC,860.4005659,67.13328324,91787.64314,425,73537.47138,36302,534,Turboprop,53.31585174
10136,Boeing 737-800,181971.4415,545621.1774,432333.4288,20%-35% of MAC,862.1786207,60.18349168,190278.5858,343,82396.41135,37475,479,Piston,84.55412184
10137,Airbus A320,258241.8958,1053332.525,842165.2129,25%-35% of MAC,976.0816173,182.4946189,101005.3913,351,70413.30991,38371,672,Turbofan,92.68674384
10138,Airbus A320,174476.8297,534801.5308,377912.0226,35%-45% of MAC,353.2320334,63.49114654,348331.2177,481,19678.55254,47573,490,Turbofan,70.46920934
10139,Boeing 747-8,274358.1594,399141.0327,279903.1917,35%-45% of MAC,635.3237591,188.7846522,61176.77408,152,99107.19269,34033,537,Piston,44.47278262
10140,Embraer E190,234619.452,835110.9286,345432.5588,20%-35% of MAC,596.9156858,155.4001424,276062.6867,173,68761.45052,21356,567,Turbofan,86.14328975
10141,Embraer E190,17423.49663,44850.4383,32704.59403,20%-35% of MAC,594.3823337,193.8720089,21409.58617,415,98583.31833,48338,522,Turboprop,47.62581069
10142,Boeing 737-800,183322.6984,507297.8901,233578.0817,20%-40% of MAC,368.1847015,37.92356986,499030.0771,129,4675.255365,56482,565,Piston,11.56418184
10143,Cessna 172,168303.0698,251508.2654,180633.506,25%-35% of MAC,568.5309104,160.9449433,61575.47144,317,28349.47819,23455,671,Piston,65.9867343
10144,Boeing 747-8,261709.2181,1108005.047,560866.4027,20%-35% of MAC,882.7552901,75.65597169,441921.7442,493,64657.15652,21959,611,Turbofan,50.61872342
10145,Airbus A320,274208.6658,854707.6299,289543.0611,20%-40% of MAC,855.3103736,112.3155577,306348.072,280,83535.07493,40641,561,Turboprop,22.90471029
10146,Airbus A380,93836.66511,297253.5894,227303.723,35%-45% of MAC,274.0977344,183.9462735,440184.6494,127,81652.44723,32125,663,Turbofan,77.53434923
10147,Gulfstream G650,130376.4691,411779.4834,231069.3511,20%-40% of MAC,949.5792251,25.08035459,122427.441,214,19058.35561,33338,458,Piston,58.28558453
10148,Boeing 737-800,108097.1529,238197.9688,170102.718,20%-40% of MAC,476.3494505,121.2295944,485103.4659,385,27241.87855,29422,620,Turbofan,14.77018505
10149,Airbus A380,46531.98901,65479.50694,63395.92969,35%-45% of MAC,794.1137828,193.1803077,106335.4286,432,95030.91418,48567,693,Piston,18.42623254
10150,Airbus A380,133948.3108,219010.4763,158831.4017,15%-30% of MAC,332.0971204,126.6373754,73846.26268,96,41579.62045,27649,490,Turbofan,51.12010942
10151,Embraer E190,18219.28648,72863.35788,21788.0874,15%-30% of MAC,227.0181587,98.01121102,229484.9339,81,92341.99521,31953,618,Turbofan,49.56108023
10152,Gulfstream G650,76237.80613,133846.1824,108480.6977,20%-40% of MAC,283.5702302,76.64566893,152641.17,332,27170.54444,52444,642,Piston,31.84565643
10153,Beechcraft King Air 350,153574.3306,631395.5092,286165.5478,25%-35% of MAC,675.1851851,143.2416355,130933.1518,480,81720.59992,56791,689,Turboprop,71.40587106
10154,Boeing 777,75928.28061,252974.0807,233778.0452,20%-40% of MAC,956.2916354,31.96087103,377249.5026,109,94972.54736,39357,484,Turboprop,19.60894332
10155,Embraer E190,181290.3765,558237.5801,311583.7491,25%-35% of MAC,838.791292,157.4388011,113941.0506,294,61381.2637,46912,443,Piston,32.68547637
10156,Airbus A380,105941.4768,454251.1614,444029.19,20%-40% of MAC,663.3974149,51.73864611,275566.2929,459,86347.32827,26274,430,Turbofan,15.51378922
10157,Boeing 747-8,75807.16667,204664.4664,177860.823,20%-40% of MAC,891.1268814,67.84779348,14489.54553,54,18788.35146,20788,625,Turbofan,51.01031373
10158,Airbus A380,110049.1237,380870.8727,367255.6813,20%-40% of MAC,738.3672869,189.8635214,76976.49831,405,59763.61828,44165,665,Turbofan,89.84911151
10159,Airbus A380,268259.5283,1145357.309,1120717.942,20%-35% of MAC,398.3474952,193.5027226,323128.331,51,71995.38411,30658,698,Turboprop,41.10958788
10160,Gulfstream G650,187960.7158,847478.2772,499393.9206,20%-40% of MAC,728.8126917,147.4294631,202232.5413,268,25593.3233,28930,522,Piston,93.95709895
10161,Embraer E190,233816.192,812713.8219,712658.0227,20%-35% of MAC,955.7485166,124.2141652,343167.704,338,76090.46952,52730,605,Turboprop,39.4455496
10162,Embraer E190,250962.9127,815691.005,331310.2894,15%-30% of MAC,421.0111674,152.8565638,312305.1623,54,62424.10883,46224,513,Piston,84.24118411
10163,Gulfstream G650,35991.79045,122421.2614,77647.68314,25%-35% of MAC,498.6829474,198.400727,487789.3057,176,46082.41292,23493,405,Piston,41.81435973
10164,Embraer E190,42230.02308,89378.9982,46013.59072,25%-35% of MAC,647.5454168,21.00460789,239730.4825,147,76335.02023,59304,413,Piston,49.45517876
10165,Beechcraft King Air 350,117766.97,329995.3159,139781.9041,15%-30% of MAC,894.2656955,147.308307,32824.38366,291,23395.75968,50144,438,Turboprop,57.23683441
10166,Boeing 737-800,76085.46148,297665.5951,205954.6444,15%-30% of MAC,589.4885552,72.11972551,196738.8154,279,56250.6763,26760,590,Piston,95.40058752
10167,Airbus A320,176406.9662,661246.5223,364995.9492,20%-40% of MAC,829.4712752,181.5266593,75337.49112,407,37632.27104,47297,619,Piston,11.98498458
10168,Embraer E190,253633.7935,1095644.469,603321.4914,20%-40% of MAC,423.1361358,84.09441177,414333.8103,120,67580.91117,46171,663,Turbofan,19.8706558
10169,Airbus A380,181932.2622,429780.228,300303.7104,20%-40% of MAC,778.3118451,94.1681043,125985.8156,198,38747.95457,31221,517,Turbofan,15.04117007
10170,Beechcraft King Air 350,152408.8168,641475.2465,351343.6381,20%-40% of MAC,742.4729318,120.9503973,324184.4647,324,84797.16812,28935,573,Piston,41.08609256
10171,Airbus A380,37092.41479,99837.13968,55539.21095,20%-40% of MAC,278.5350979,181.4143454,446363.6468,103,64779.10669,35654,503,Turboprop,34.50729805
10172,Boeing 747-8,15674.81779,64438.42073,41453.44079,20%-35% of MAC,462.0890351,81.45760006,265794.7263,202,88395.56514,50379,426,Piston,40.94691803
10173,Embraer E190,275287.4392,1267369.54,621779.447,35%-45% of MAC,562.8620394,187.8509946,426745.032,442,15382.76454,35510,657,Turbofan,78.96851482
10174,Boeing 747-8,81808.00919,160464.0137,112050.1473,20%-35% of MAC,261.3349588,131.9152142,430889.3567,88,10308.07175,21990,577,Turbofan,43.8553813
10175,Embraer E190,282043.5089,754427.2406,303525.8233,35%-45% of MAC,766.6742465,29.24705821,433967.6341,400,81462.54082,21786,547,Turbofan,35.69035917
10176,Boeing 747-8,68765.37186,152723.8842,115867.0031,25%-35% of MAC,565.3911731,40.17613365,230165.7182,226,77414.00529,38000,473,Piston,20.16087208
10177,Gulfstream G650,132274.5776,526334.3945,492994.3628,35%-45% of MAC,909.4279435,74.43395534,434797.0308,95,11829.84163,25761,576,Turbofan,42.67279763
10178,Airbus A320,17990.71328,21804.69255,21248.37934,20%-40% of MAC,732.3987571,140.5088212,326593.8865,250,47612.69827,56187,687,Turboprop,54.64698576
10179,Beechcraft King Air 350,293077.4497,1319913.759,802774.8487,25%-35% of MAC,736.1766391,180.7791335,378491.4467,271,48714.33278,40330,475,Piston,36.3432074
10180,Boeing 737-800,80625.04747,111007.1369,109482.6222,20%-35% of MAC,441.2294788,168.6932895,127013.7,500,84827.90547,28461,547,Piston,82.62653171
10181,Boeing 737-800,259668.6803,767753.9372,687286.4429,20%-40% of MAC,655.4041564,42.65946453,338170.8191,436,23795.68196,56696,592,Piston,20.0024769
10182,Boeing 777,168699.4574,841254.7743,540129.9651,15%-30% of MAC,758.1369893,125.8708864,303815.8431,68,62307.39694,47213,545,Turboprop,84.52313687
10183,Airbus A380,111740.4916,132831.7772,125700.527,20%-40% of MAC,821.373998,187.3579434,158446.3088,212,84592.93778,53610,442,Turboprop,76.14728073
10184,Boeing 777,204817.2891,313793.3992,234488.5937,20%-40% of MAC,269.4200717,76.51285042,306785.6327,90,77645.52011,29106,547,Turboprop,61.30513772
10185,Airbus A380,292088.1786,381177.9288,323173.8012,25%-35% of MAC,284.6039268,153.2746617,335247.7899,133,26467.33648,56003,661,Turboprop,47.71631026
10186,Beechcraft King Air 350,102416.6745,260492.6495,208916.1994,35%-45% of MAC,202.4265767,148.5732671,13176.79235,437,78758.89347,48083,485,Turboprop,92.26915155
10187,Airbus A320,35018.54435,93116.91687,66948.5169,20%-40% of MAC,523.938814,184.0597264,84087.48223,121,5040.285777,40702,580,Turbofan,96.92518478
10188,Beechcraft King Air 350,146450.6408,263771.3982,236286.3716,20%-40% of MAC,293.5978627,199.9028007,409096.374,316,51210.36388,54670,675,Turbofan,24.56329219
10189,Cessna 172,85161.305,218890.1381,194001.4956,20%-35% of MAC,596.2312445,62.3986619,236469.6318,358,28980.88182,33511,555,Turboprop,92.21116048
10190,Beechcraft King Air 350,140736.3991,471405.8627,276323.9938,25%-35% of MAC,917.2269896,164.1457007,156043.0233,156,87361.00351,20744,588,Turboprop,82.21138964
10191,Beechcraft King Air 350,94397.25648,103412.9946,98667.48555,35%-45% of MAC,827.3392998,199.0006755,209160.4091,291,36149.32741,29079,492,Turbofan,50.07673856
10192,Embraer E190,197820.8882,560532.6895,366969.7469,20%-40% of MAC,367.6682815,21.05803113,477364.2924,336,32889.98258,58439,481,Turboprop,52.91215352
10193,Boeing 747-8,214480.9536,669402.8458,390173.7611,20%-40% of MAC,861.2985192,109.6627271,212710.062,98,1565.145215,32032,423,Turboprop,97.0382335
10194,Bombardier Global 6000,113060.8896,502019.5172,464684.8333,20%-35% of MAC,853.6827232,136.584552,499490.1212,428,74319.69583,22795,523,Turbofan,39.7042514
10195,Boeing 737-800,228329.8881,259607.6228,238439.8402,25%-35% of MAC,791.5099159,182.9823223,297047.2751,62,12713.00002,52678,578,Turbofan,83.32409477
10196,Airbus A320,205241.0089,351456.0885,208739.6919,20%-40% of MAC,859.1660517,85.15072458,155985.7873,483,63748.293,23376,506,Piston,78.81895819
10197,Embraer E190,32530.12292,126061.5546,46606.4307,15%-30% of MAC,482.044306,97.50091985,62893.37205,376,72913.17213,42761,551,Turboprop,42.28586255
10198,Boeing 737-800,61005.33314,179684.7391,79868.69291,20%-40% of MAC,674.4074101,117.3655355,164000.7958,224,77171.95212,44711,576,Piston,56.97541915
10199,Boeing 777,283237.9006,1152772.987,889099.4373,20%-35% of MAC,912.7053012,111.1954903,134856.2177,273,69292.20123,38468,403,Turboprop,63.15983692
10200,Embraer E190,112674.743,161938.8476,125118.923,20%-35% of MAC,686.6894301,26.14184177,335651.7953,89,64782.71844,30081,516,Piston,64.06140923
10201,Boeing 737-800,39748.96482,87684.12943,80455.86141,25%-35% of MAC,326.8826045,131.8935377,368420.5039,219,88734.19205,34848,609,Turbofan,89.90314832
10202,Boeing 777,87669.60884,437448.1145,193793.3317,20%-40% of MAC,958.7356618,114.3657767,169423.0141,219,13948.38761,24354,525,Piston,65.6282354
10203,Gulfstream G650,28637.41951,38671.097,28805.03202,20%-40% of MAC,582.1522585,22.6112095,139218.5294,382,86080.80118,57973,401,Turbofan,13.76801303
10204,Embraer E190,231470.1507,858922.2838,788954.8389,35%-45% of MAC,891.1251659,64.55017141,372015.4001,149,92377.81163,36620,551,Turboprop,60.54926425
10205,Bombardier Global 6000,166442.312,423643.3549,180655.1132,25%-35% of MAC,489.1555276,98.08883637,225128.9796,276,73811.4332,31980,445,Piston,83.8567408
10206,Boeing 747-8,167168.588,586176.6328,527626.786,20%-40% of MAC,268.9279758,24.79258316,374104.0573,162,3961.485011,47276,699,Turboprop,74.64448921
10207,Boeing 737-800,120628.3133,381143.4384,257656.9896,20%-40% of MAC,656.5388465,87.81153258,364613.8586,245,79246.09511,39348,562,Piston,90.86562488
10208,Embraer E190,134269.1087,577738.3516,365359.8328,20%-35% of MAC,285.4921487,70.73561639,474995.1984,207,12149.03955,53344,515,Turbofan,85.90451622
10209,Boeing 747-8,161991.2931,513133.9444,305496.2285,20%-40% of MAC,861.282944,75.71562781,35190.7398,347,6272.978275,42834,629,Piston,81.63333648
10210,Bombardier Global 6000,221306.514,640620.9208,578355.3097,20%-40% of MAC,886.0788533,118.5092596,379654.5774,312,94399.77112,20365,509,Turbofan,37.59811449
10211,Airbus A320,87820.65256,224560.8003,108340.8635,25%-35% of MAC,652.9970733,118.500002,136133.0438,241,64580.40295,35858,581,Turbofan,23.11733179
10212,Airbus A380,5196.257961,22367.93519,6979.234368,35%-45% of MAC,371.1242828,97.09005583,273867.65,91,22157.81052,44991,444,Turbofan,46.88869391
10213,Gulfstream G650,151490.9774,747476.6547,364123.852,35%-45% of MAC,601.6520472,50.07381608,71262.46585,447,35310.55624,33865,474,Turboprop,54.33413034
10214,Bombardier Global 6000,66150.513,230046.5999,104332.7879,20%-35% of MAC,500.5088167,111.3737471,136887.5651,214,21741.3352,33986,579,Turboprop,91.28158684
10215,Cessna 172,114408.3551,456861.2661,226330.6055,20%-40% of MAC,384.75464,126.8682967,73372.04299,234,91957.37418,40913,654,Turbofan,42.45142906
10216,Boeing 737-800,181360.4258,738931.5649,610405.8129,25%-35% of MAC,811.7294776,53.7480072,156292.3814,430,89400.91782,43933,504,Turboprop,95.44249799
10217,Boeing 777,172198.5527,832368.2003,431497.3609,25%-35% of MAC,692.5440744,163.9365887,177922.2746,367,79772.82882,32347,618,Piston,69.72789113
10218,Bombardier Global 6000,195898.3425,749524.1227,701866.1551,15%-30% of MAC,821.0060517,110.7347481,108685.5156,286,86630.90753,33080,674,Turboprop,74.8573361
10219,Cessna 172,176411.3769,550817.9403,400889.2961,20%-40% of MAC,870.0332675,67.13456964,268975.5385,432,98586.81664,29783,627,Piston,86.81647867
10220,Embraer E190,93548.37708,459752.1858,222102.9773,15%-30% of MAC,230.9872336,89.73198356,476957.6348,326,30328.19666,31016,644,Turboprop,73.46593882
10221,Bombardier Global 6000,11514.45405,48756.13686,25215.18993,35%-45% of MAC,979.1322206,147.92474,322163.9979,275,53836.06296,26624,648,Turbofan,69.08759689
10222,Airbus A380,175062.994,256012.8602,185930.1978,15%-30% of MAC,479.028047,51.77516838,174024.3339,373,63012.65275,59107,682,Turboprop,96.99522862
10223,Boeing 777,33323.79226,113856.3262,70854.26355,20%-40% of MAC,994.4719123,152.9072497,268557.739,331,76702.63613,48261,593,Turboprop,12.80575986
10224,Boeing 777,208410.4879,290976.0889,212031.7309,20%-35% of MAC,740.708149,142.0516331,316365.6525,327,72803.96323,49536,495,Turboprop,46.45231366
10225,Boeing 777,227188.3262,449230.7472,316742.3618,25%-35% of MAC,358.4088086,126.3871871,326913.952,350,85597.81184,22332,613,Piston,21.64101422
10226,Boeing 737-800,238769.016,1187710.056,1101442.888,20%-40% of MAC,638.9913967,124.9142935,382531.5952,79,54982.42745,31064,401,Turboprop,94.71791926
10227,Gulfstream G650,15043.15791,17436.84187,15926.37582,25%-35% of MAC,653.0784649,153.3868284,375090.331,323,81356.05003,46019,568,Piston,49.63666199
10228,Bombardier Global 6000,22139.14049,23377.22463,22526.27259,35%-45% of MAC,417.6040229,39.0836912,305180.0842,276,64689.39831,33394,588,Turbofan,77.10124281
10229,Boeing 777,111294.1198,377502.1955,157575.4172,25%-35% of MAC,963.5899614,179.6003977,81159.96216,123,78395.94188,38408,471,Turboprop,13.61161091
10230,Airbus A320,36115.22326,47001.06382,39228.04936,35%-45% of MAC,447.7689398,176.0013602,224919.614,342,43422.54829,44774,523,Turbofan,55.20792877
10231,Airbus A380,7577.635049,11840.78382,8491.987771,35%-45% of MAC,625.6809453,20.94524554,148590.7195,178,84585.66115,44428,514,Turboprop,79.38159455
10232,Beechcraft King Air 350,39623.86396,140527.8989,80054.88996,15%-30% of MAC,349.5027494,162.574953,432214.4751,146,60897.7215,39858,485,Piston,47.85668116
10233,Embraer E190,296056.7925,735516.2439,721903.3179,20%-40% of MAC,424.7116401,34.56199303,31948.97908,223,23434.97847,34385,408,Turbofan,47.13409524
10234,Beechcraft King Air 350,59450.75093,122780.1219,104166.1067,25%-35% of MAC,821.7039965,86.93276216,302623.5289,51,35548.41106,52463,475,Turboprop,21.39961359
10235,Gulfstream G650,37137.16968,79554.42195,49018.64295,20%-35% of MAC,713.5656248,127.2383633,253274.5,377,69168.4865,37724,561,Piston,14.99713163
10236,Cessna 172,191391.1084,454247.0283,195423.7574,15%-30% of MAC,384.7591181,105.7726902,56676.66327,255,47086.43499,43793,559,Turboprop,13.72552922
10237,Cessna 172,165825.8291,338532.3427,167238.9657,20%-40% of MAC,231.3466253,122.040428,302836.7542,391,65972.23869,20875,557,Turboprop,27.84615118
10238,Gulfstream G650,15035.16961,38035.80406,21229.88445,20%-40% of MAC,547.8747651,143.1117272,437539.64,237,50259.84307,31374,521,Turbofan,88.17432204
10239,Airbus A320,179581.094,242610.1575,209640.6881,20%-40% of MAC,575.3115706,91.74821155,251988.9834,239,43450.27099,53316,613,Turbofan,89.5249885
10240,Cessna 172,226904.8749,696347.3843,533643.1022,20%-35% of MAC,709.7287757,114.9814406,496124.3095,293,89599.79106,21568,538,Turboprop,40.01232161
10241,Boeing 737-800,52583.80882,189871.2354,140021.3629,25%-35% of MAC,614.1510999,81.28443543,123095.4253,210,10163.57081,53039,608,Piston,48.08705636
10242,Gulfstream G650,246908.422,663791.8679,451552.442,35%-45% of MAC,916.3940265,190.9230237,352718.0227,499,71562.82189,31706,466,Turbofan,49.76952872
10243,Embraer E190,252759.9928,1236106.503,829940.0171,20%-35% of MAC,955.0751962,39.07286198,215062.2395,400,92152.42789,30193,625,Turbofan,89.63690328
10244,Beechcraft King Air 350,128748.6249,262508.4075,135026.2156,20%-35% of MAC,653.1086047,27.56429539,66073.3569,62,39285.40365,52698,488,Turbofan,76.68283517
10245,Boeing 777,123080.0513,164723.1839,159071.8437,20%-40% of MAC,816.9538194,134.5782695,95186.64994,329,44637.23337,41265,635,Turbofan,12.18190631
10246,Airbus A380,157765.5424,497323.541,304200.0397,20%-35% of MAC,418.3070902,113.8535565,258368.0718,317,5521.043515,59530,466,Turboprop,89.03557553
10247,Airbus A320,80777.08567,305730.0293,266932.8016,35%-45% of MAC,511.9007898,62.81867246,108592.6635,429,7145.772998,57106,438,Turbofan,92.19316011
10248,Boeing 747-8,26933.80797,35838.6675,32799.89803,15%-30% of MAC,256.2071659,95.61919507,225329.9339,457,75915.43382,45091,456,Piston,72.52589389
10249,Cessna 172,192512.647,578487.0928,341060.4829,25%-35% of MAC,783.411382,154.1792553,408920.4791,125,23676.68346,25605,501,Turboprop,92.83961206
10250,Boeing 777,111884.5368,492923.4211,391539.2712,15%-30% of MAC,237.4232543,195.5776242,11904.0387,260,86194.75519,56903,533,Piston,15.90339162
10251,Gulfstream G650,235227.8635,1071336.064,517224.4867,35%-45% of MAC,807.6790951,184.7244608,81965.75756,340,68846.72958,32078,447,Piston,61.92935692
10252,Embraer E190,118080.5912,191469.799,142641.0447,15%-30% of MAC,971.3962486,185.4520213,133529.5901,120,17786.73226,35963,603,Turboprop,82.70273048
10253,Embraer E190,216638.7448,549861.4107,457364.1671,20%-40% of MAC,549.29434,167.302749,420757.0061,475,19822.22904,42074,617,Piston,92.7905046
10254,Embraer E190,267006.0562,488967.4327,452039.9686,15%-30% of MAC,323.5960596,148.0763805,125527.4987,72,82163.08011,56959,608,Turbofan,41.07858695
10255,Boeing 747-8,166153.4921,697626.1705,208707.7825,35%-45% of MAC,615.5633179,128.4196346,421760.5102,384,7424.217463,45511,476,Turbofan,28.1760937
10256,Airbus A320,116986.0385,400019.024,335562.2815,35%-45% of MAC,872.1798631,38.48459005,497854.2802,203,51485.56823,27215,687,Turbofan,14.04899882
10257,Airbus A380,216490.3561,1008342.017,705968.989,20%-40% of MAC,202.3122537,82.32237552,109330.9189,161,57489.23714,58651,515,Piston,39.85723595
10258,Airbus A320,268969.4581,1050540.698,936065.8157,20%-40% of MAC,557.028678,124.6528773,26219.34205,255,13675.65278,20697,630,Turboprop,71.31351381
10259,Bombardier Global 6000,271633.0328,455706.4345,314500.5435,20%-40% of MAC,419.1951301,21.54444986,169583.477,436,43879.66038,28120,523,Piston,93.6739401
10260,Cessna 172,115857.6074,481456.6703,131470.0775,20%-40% of MAC,436.7673833,125.0744269,388961.7515,335,51984.57985,21420,585,Turboprop,91.53089052
10261,Airbus A320,92278.32927,194433.8208,146287.8793,15%-30% of MAC,931.9403431,30.22400354,42751.34609,60,40674.73799,51110,556,Turboprop,48.88148256
10262,Bombardier Global 6000,146917.8406,711345.113,409986.8619,15%-30% of MAC,706.577815,142.9631837,25772.17856,422,98168.4115,44733,697,Turbofan,87.52576234
10263,Boeing 747-8,144377.4097,232493.929,195147.3124,15%-30% of MAC,229.1207601,51.19976572,195060.6649,453,33251.35079,29097,570,Piston,72.05360694
10264,Boeing 777,5880.945138,11779.40071,9100.990101,20%-40% of MAC,353.803448,102.6146467,395504.3682,160,78067.47184,41747,562,Piston,45.03403143
10265,Beechcraft King Air 350,232232.5475,754688.9083,416422.4387,25%-35% of MAC,417.9472554,166.9260346,467670.5123,496,88468.84163,43421,439,Turboprop,10.80234036
10266,Airbus A320,31341.75933,112470.2245,40709.93078,25%-35% of MAC,706.6289851,38.54933324,230038.9319,436,67810.50288,48295,641,Piston,58.71810813
10267,Boeing 777,209978.0687,550401.3281,510007.2132,25%-35% of MAC,391.7973424,142.7031285,76158.55618,82,22058.64529,51940,689,Turbofan,39.79142555
10268,Beechcraft King Air 350,214282.8291,922847.4879,732928.8661,15%-30% of MAC,474.3393146,183.0750157,172890.8226,272,44764.35947,32391,435,Turboprop,51.81667035
10269,Airbus A380,25444.28202,88004.02574,80862.32099,35%-45% of MAC,299.9996655,25.11614209,132241.7436,276,74099.43465,43275,649,Piston,72.78685792
10270,Airbus A380,167533.0141,440108.2627,398261.2432,20%-40% of MAC,581.1865186,48.39814522,59270.06726,305,81043.99564,43266,431,Turbofan,27.40240201
10271,Embraer E190,281394.9822,644035.8895,493716.6947,15%-30% of MAC,695.7616349,138.7581702,238956.3246,262,81524.15052,55136,691,Turboprop,90.8505865
10272,Cessna 172,221575.4739,521597.2679,301149.5307,20%-40% of MAC,495.9480444,158.9430673,13793.55635,359,15899.61032,43282,412,Turbofan,93.14632104
10273,Gulfstream G650,15248.83346,49919.05089,47910.61091,15%-30% of MAC,667.8126102,161.8937862,103686.082,223,31199.59071,29610,556,Piston,74.34017389
10274,Embraer E190,211679.6394,997074.6895,440259.757,35%-45% of MAC,821.0827013,166.8327411,18562.5239,333,84023.35266,59133,606,Turbofan,29.35727916
10275,Beechcraft King Air 350,141026.5658,643979.1421,522614.4214,20%-40% of MAC,246.4216184,73.06635536,131923.9468,177,2027.518755,42490,574,Turboprop,48.64145648
10276,Boeing 777,21288.70021,60247.95086,50356.59417,35%-45% of MAC,618.1611806,82.89966035,142265.8147,341,6373.152951,27798,501,Turboprop,61.09166281
10277,Gulfstream G650,249503.7744,1220777.623,273856.7272,20%-40% of MAC,803.5616209,193.4414916,417341.948,192,85500.97689,58913,458,Turbofan,36.47382846
10278,Embraer E190,138201.9784,401298.2917,147136.6647,20%-40% of MAC,754.9509965,63.46106764,434256.1362,389,80975.96595,20178,596,Turbofan,14.64859943
10279,Boeing 747-8,10255.56203,32166.2349,18984.00914,25%-35% of MAC,300.8897397,109.5174518,238977.5623,169,91745.83673,30097,518,Piston,68.942873
10280,Gulfstream G650,213229.7961,1031042.326,610559.9398,20%-40% of MAC,823.8167089,182.2369464,341604.4564,459,37379.99028,54886,646,Turbofan,73.28031899
10281,Gulfstream G650,61030.41399,210953.8179,140722.6817,25%-35% of MAC,769.1670665,171.2932611,265958.9893,480,34430.82429,34406,650,Turbofan,72.20176176
10282,Airbus A380,162561.8372,262429.4454,210956.7251,20%-35% of MAC,640.9873731,128.7076083,34756.30212,99,24981.8955,36405,532,Turboprop,11.66672197
10283,Bombardier Global 6000,187594.6319,295010.4141,289474.2579,25%-35% of MAC,496.2590613,68.44353582,153704.6142,240,88252.35986,23819,697,Turbofan,68.86646774
10284,Boeing 777,253589.8343,858579.7952,639381.8039,20%-35% of MAC,748.2634967,155.7944584,173183.586,447,79699.27872,21480,592,Piston,61.89252598
10285,Airbus A320,236210.7054,570189.1142,412643.686,20%-35% of MAC,893.5808617,119.566981,409233.2347,220,26382.20621,24751,654,Piston,45.9102878
10286,Airbus A320,54685.12095,221814.1272,115702.4329,20%-40% of MAC,313.7540844,156.3756456,149139.1307,479,84891.54277,56800,584,Turbofan,85.59767666
10287,Boeing 747-8,224780.4381,332360.1953,313889.8336,20%-35% of MAC,324.881187,117.3080647,172491.5808,130,92882.57427,49255,408,Turbofan,85.02426929
10288,Boeing 747-8,285382.005,846235.0091,504557.0824,20%-40% of MAC,744.4135601,144.00466,206710.9261,353,48875.10722,42644,510,Piston,65.25332257
10289,Beechcraft King Air 350,199915.8276,855673.7394,729956.1332,15%-30% of MAC,290.0235618,144.7834956,377571.6182,224,67336.84394,54868,442,Turbofan,24.79557859
10290,Cessna 172,128615.1417,540884.4225,476638.6408,15%-30% of MAC,494.7276489,182.1298938,156278.8925,458,44187.67014,37151,478,Turboprop,49.11520481
10291,Boeing 737-800,273992.8455,884008.0715,733724.1865,25%-35% of MAC,649.2292071,118.9480264,388421.8613,121,28004.52692,29170,409,Turboprop,42.63891532
10292,Embraer E190,294432.0531,997117.283,649420.948,25%-35% of MAC,280.2341473,180.8039584,464346.6176,458,90701.55257,25296,673,Turbofan,89.41432631
10293,Boeing 747-8,207344.2786,984378.5908,402992.3099,35%-45% of MAC,419.1878292,135.0756068,73005.35113,161,40527.86668,29211,427,Turboprop,32.72739849
10294,Boeing 747-8,81260.48891,177876.9264,87072.66494,20%-40% of MAC,266.1868741,31.57904148,161667.8615,452,2230.656217,35674,517,Turbofan,75.91492216
10295,Airbus A380,139257.8488,323638.4557,214739.2995,20%-40% of MAC,999.1868661,40.07410088,280309.9973,329,57899.57043,40670,479,Piston,86.94391867
10296,Boeing 747-8,114711.6635,375035.705,142961.0798,20%-35% of MAC,204.4407927,70.63264771,145424.982,469,21624.91031,36811,540,Turbofan,20.18148461
10297,Boeing 737-800,80717.67219,138407.7035,86093.22815,20%-35% of MAC,930.7874874,140.9561223,493510.3901,82,81983.27236,58647,473,Turboprop,33.86230327
10298,Airbus A320,40526.43469,52450.22142,44408.2261,25%-35% of MAC,967.8530422,99.28165727,430201.4999,323,90109.7609,23801,621,Turboprop,86.66293893
10299,Boeing 747-8,246745.1385,314897.8646,275579.7557,20%-35% of MAC,547.5280736,118.1494342,285205.5081,161,84309.89693,44843,434,Turbofan,16.12302421
10300,Beechcraft King Air 350,62841.54635,205592.3201,160999.4963,35%-45% of MAC,831.1461678,121.2006864,400882.4773,151,7101.895693,51511,526,Turbofan,78.64343429
10301,Beechcraft King Air 350,40828.93294,177609.234,52899.82589,20%-40% of MAC,334.1846659,163.4998702,169974.1315,146,60727.03614,20316,451,Turboprop,90.91843413
10302,Bombardier Global 6000,254446.1654,517114.448,425402.1967,20%-35% of MAC,744.0116511,190.6262135,16411.58668,232,79620.01278,44168,673,Turboprop,40.60309499
10303,Beechcraft King Air 350,199359.7858,836528.2668,505705.6162,20%-40% of MAC,549.316708,120.8699894,456146.988,185,87046.98034,46054,585,Turboprop,80.3920361
